"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"14062059","S","12/31/2014","RESI","4428 Begg","Northwoods","St Louis","5","6","$24,000","3","1 (1 0)","1,240","0.1290","63","OWAI01"
"14041631","S","09/26/2014","RESI","250 Eldorado","Florissant","Florissant","5","16","$85,000","3","2 (2 0)","988","0.1720","63","LIAS01"
"14042163","S","12/23/2014","RESI","7358 Jenwood Ave","Jennings","St Louis","16","129","$3,000","2","2 (1 1)","868","0.2300","81","GLDR01"
"14061618","S","12/12/2014","RESI","5412 Hamilton Ave","Jennings","Jennings","16","34","$4,000","2","1 (1 0)","825","0.1470","63","TRRA01"
"14031788","S","12/31/2014","RESI","5505 Hodiamont Ave","Jennings","St Louis","16","190","$4,000","1","1 (1 0)","555","0.0940","94","CBG 06"
"14055516","S","10/30/2014","RESI","5522 Janet Ave","Jennings","St Louis","16","83","$5,500","3","1 (1 0)","1,025","0.0880","91","LRES01"
"14053747","S","11/21/2014","RESI","5647 Acme Ave","Jennings","St Louis","16","43","$6,000","2","1 (1 0)","728","0.2080","68","CBG 06"
"14054608","S","12/29/2014","RESI","8967 Mayfield Ct","Jennings","St Louis","16","50","$7,000","2","1 (1 0)","1,418","0.1370","76","FOWL01"
"14041089","S","09/12/2014","RESI","7321 Harney Ave","Jennings","St Louis","16","71","$7,000","2","1 (1 0)","1,014","0.1150","71","HRSR01"
"14053211","S","12/09/2014","RESI","8324 College Ave","Jennings","St Louis","16","52","$8,000","2","1 (1 0)","870","0.0840","93","RMBC03"
"14043760","S","11/21/2014","RESI","7441 Chandler Ave","Country Club Hills","St Louis","16","114","$8,000","2","1 (1 0)","792","0.1210","77","HRSR01"
"14042248","S","12/22/2014","RESI","5536 Apricot Ave","Jennings","St Louis","16","92","$8,000","4","1 (1 0)","1,176","0.1280","66","PRPT01"
"14024002","S","09/18/2014","RESI","34 Jendale Ct","Jennings","St Louis","16","47","$9,000","3","2 (1 1)","1,096","0.1610","63","MDRV01"
