MLS,St,Status_Date,P_Type,Address,Municipality,City,Area,CDOM,Price,Bedrooms,Bth,Square_Footage,Acres,Age,Listing_Office_ID,Total_Baths,Full_Baths,Half_Baths,Standardization,RetAddr1,RetAddr2,RetCity,RetState,RetZipCode,RetHyphen,RetPlus4
19083120,A,11/7/2019 0:00,RESI,63123 63123-9 Home Package,Unincorporated,St Louis,271,410,1250000,3,1 (1 0),1050,0.15,91,DIFR01,1,1,0,-,63123 63123-9 HOME PACKAGE,,ST LOUIS,MO,,-,
20088879,AC,12/14/2020 0:00,RESI,12526 Bellefontaine,Unincorporated,Unincorporated,46,9,152900,3,2 (2 0),1254,0.82,69,ALRG01,2,2,0,-,12526 BELLEFONTAINE,,UNINCORPORATD,MO,,-,
10015872,X,7/12/2010 0:00,RESI,234 Manning Ave,Hazelwood,Hazelwood,64,116,25000,2,1 (1 0),729,0.14,68,CBG 06,1,1,0,-,234 MANNING AVE,,HAZELWOOD,MO,63135,-,1033
90046283,X,6/28/2010 0:00,COND,1740 Pineberry Ct,Unincorporated,Maryland Heights,76,150,168000,2,(0 0),1648,0.09,34,APXV01,,0,0,-,1740 PINEBERRY CT,,MARYLND HGHTS,MO,,-,
10020705,X,1/6/2011 0:00,RESI,11800 Bellefontaine Rd,Unincorporated,Hazelwood,46,531,93000,3,2 (1 1),1134,0.2,59,MCUL01,2,1,1,-,11800 BELLEFONTAINE RD,,HAZELWOOD,MO,,-,
10060480,X,3/31/2011 0:00,RESI,12539 Bellefontaine Rd,Unincorporated,Unincorporated,46,234,95000,3,2 (2 0),1647,0.31,46,JOMO01,2,2,0,-,12539 BELLEFONTAINE RD,,UNINCORPORATD,MO,,-,
10046137,X,2/6/2011 0:00,RESI,1413 Broadlawns Lane,Unincorporated,Hazelwood,46,362,98500,4,2 (1 1),912,0.17,59,REED,2,1,1,-,1413 BROADLAWNS LN,,HAZELWOOD,MO,,-,
10016289,X,1/31/2011 0:00,RESI,11057 Ebert Dr,Unincorporated,Hazelwood,46,249,119900,4,3 (3 0),1344,0.19,54,HASL01,3,3,0,-,11057 EBERT DR,,HAZELWOOD,MO,,-,
90051139,X,1/1/2011 0:00,RESI,11452 Lilac Ave,Unincorporated,Unincorporated,46,458,199900,3,3 (2 1),1333,1.17,29,CBPR01,3,2,1,-,11452 LILAC AVE,,UNINCORPORATD,MO,,-,
10042416,X,1/18/2011 0:00,RESI,6695 Lesli Mari Ct,Unincorporated,St Louis,47,182,119900,3,2 (1 1),1053,0.19,42,LNDT01,2,1,1,-,6695 LESLI MARI CT,,ST LOUIS,MO,63033,-,4818
11001463,X,3/31/2011 0:00,RESI,10523 Maddox,Unincorporated,Unincorporated,91,173,92000,1,1 (1 0),800,0.29,95,CORN02,1,1,0,-,10523 MADDOX,,UNINCORPORATD,MO,,-,
10038475,X,3/31/2011 0:00,RESI,8147 Allen Ave,Unincorporated,Unincorporated,106,742,64000,3,2 (1 1),1240,0.29,118,CORN03,2,1,1,-,8147 ALLEN AVE,,UNINCORPORATD,MO,63114,-,5307
10039118,X,1/1/2011 0:00,RESI,2524 Bopp Rd,Town And Country,Town and Country,151,86,1995000,4,7 (5 2),4708,0.99,16,CBG 24,7,5,2,-,2524 BOPP RD,,TWN AND CNTRY,MO,63131,-,3217
10039486,X,1/6/2011 0:00,RESI,188 Marine Lane,Maryland Heights,Maryland Heights,166,183,189900,2,1 (1 0),816,1,64,HALL01,1,1,0,-,188 MARINE LN,,MARYLND HGHTS,MO,,-,
10033243,X,2/28/2011 0:00,RESI,700 Judson Manor Dr,Chesterfield,Chesterfield,167,260,220000,0,3 (2 1),1848,0.38,53,WAME01,3,2,1,-,700 JUDSON MANOR DR,,CHESTERFIELD,MO,,-,
10047013,X,1/10/2011 0:00,RESI,2405 Oak Springs Lane,Town And Country,Town and Country,168,150,525000,4,4 (3 1),2590,1.06,49,EXSL01,4,3,1,-,2405 OAK SPRINGS LN,,TWN AND CNTRY,MO,63131,-,1131
10039718,X,1/10/2011 0:00,RESI,2014 South Mason Rd,Town And Country,Town and Country,168,80,534900,3,2 (2 0),2740,1.48,48,MADA01,2,2,0,-,2014 S MASON RD,,TWN AND CNTRY,MO,,-,
10060752,X,3/31/2011 0:00,RESI,12141 Carberry,Town And Country,Town and Country,168,179,700000,4,4 (3 1),3366,1,33,PRUA02,4,3,1,-,12141 CARBERRY,,TWN AND CNTRY,MO,,-,
10055844,X,1/5/2011 0:00,RESI,12002 Tindall Dr,Town And Country,Town and Country,168,96,799000,4,3 (2 1),3039,1.03,34,MCFE01,3,2,1,-,12002 TINDALL DR,,TWN AND CNTRY,MO,63131,-,3134
