"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"17049725","S","01/16/2018","RESI","11414 South 40 Dr","Frontenac","St Louis","151","138","$625,000","4","5 (4 1)","3,672","1.0000","31","BHAL14"
"18000010","S","03/29/2018","RESI","12474 South 40 Dr","Town And Country","St Louis","168","252","$335,000","3","4 (3 1)","2,765","1.7300","58","FFRR01"
"18002256","S","03/08/2018","RESI","11835 7 Hills Dr","Unincorporated","Florissant","64","8","$105,000","3","3 (3 0)","1,528","0.2300","32","CBG 05"
"17081547","S","01/31/2018","RESI","14838 94th Ave","Unincorporated","Florissant","47","17","$250,000","4","5 (3 2)","2,796","0.2800","30","WCLK01"
"18004755","S","02/27/2018","RESI","947 Abbeville","University City","St Louis","136","4","$254,500","3","2 (1 1)","1,307","0.2510","66","RDKY02"
"18000731","S","03/06/2018","RESI","3023 Aberdeen","Unincorporated","Florissant","64","13","$100,000","3","2 (2 0)","1,390","0.1900","52","KWSW01"
"17072026","S","03/16/2018","RESI","3106 Aberdeen Dr","Unincorporated","Florissant","64","12","$122,500","4","2 (2 0)","1,498","0.2260","53","KWRP01"
"18005410","S","03/22/2018","RESI","5217 Abington","Black Jack","Black Jack","47","2","$105,000","4","2 (2 0)","","0.2120","53","ULTM01"
"17082067","S","02/16/2018","RESI","8310 Acorn Ave","Unincorporated","St Louis","271","66","$127,000","3","1 (1 0)","960","","54","IMAG01"
"17081891","S","02/26/2018","RESI","1003 Acorn Trail Dr","Hazelwood","Florissant","48","102","$140,000","3","2 (2 0)","","0.2200","35","KLSY01"
"18001000","S","02/28/2018","RESI","1380 Acredale Dr","Florissant","Florissant","64","29","$49,500","4","2 (1 1)","1,248","0.2000","60","BBND01"
"17095329","S","02/05/2018","RESI","1000 Addison Dr","Bellefontaine Neighbors","St Louis","31","54","$32,500","4","2 (2 0)","1,588","0.2490","66","GLDR01"
"17089033","S","01/17/2018","RESI","143 Adelle Ave","Ferguson","St Louis","63","37","$28,400","2","1 (1 0)","1,431","0.2770","93","CBG 06"
"17093252","S","02/09/2018","RESI","3500 Adie Rd","St. Ann","St Ann","76","11","$70,000","3","3 (3 0)","1,522","0.4960","58","GLDR01"
"17089204","S","01/17/2018","RESI","4033 Affirmed Dr","Unincorporated","Florissant","47","29","$160,175","0","4 (3 1)","2,711","0.2300","27","CBG 06"
"17097334","S","03/09/2018","RESI","3809 Affirmed Dr","Unincorporated","Florissant","47","29","$165,000","3","3 (3 0)","1,564","0.2900","25","KWRP01"
"18010670","S","03/30/2018","RESI","8726 Agate","Jennings","St Louis","16","8","$18,050","2","1 (1 0)","840","0.2190","68","OPWR01"
"17084710","S","01/05/2018","RESI","2273 Aileswick","Unincorporated","St Louis","332","6","$236,126","3","3 (2 1)","","0.1750","45","GRCA01"
"18003622","S","03/07/2018","RESI","1425 Aintree Dr","Florissant","Florissant","64","12","$68,000","4","2 (2 0)","1,748","0.2700","58","HILB01"
"18000436","S","02/27/2018","RESI","8024 Airport Rd","Berkeley","St Louis","65","39","$17,000","3","1 (1 0)","960","0.1260","67","CBG 06"
"18003427","S","03/07/2018","RESI","1401 Akron Dr","Bellefontaine Neighbors","St Louis","31","1","$60,000","3","2 (2 0)","912","0.2400","64","BHSP02"
"18018252","S","03/16/2018","RESI","13 Alandale Ct","Florissant","Florissant","48","0","$70,000","3","2 (1 1)","1,062","0.2200","56","CBPR01"
"18004241","S","03/26/2018","RESI","7223 Albright Ave","Jennings","St Louis","16","19","$20,086","3","1 (1 0)","864","0.1220","58","CBG 05"
"17093518","S","01/12/2018","RESI","7942 Aldershot Dr","Marlborough","St Louis","271","1","$131,500","3","2 (1 1)","1,000","0.1780","64","CBG 12"
"17093853","S","01/28/2018","RESI","7946 Aldershot Dr","Marlborough","St Louis","271","15","$137,500","3","1 (1 0)","1,000","0.1780","64","REGO05"
"18002578","S","03/28/2018","RESI","874 Alexandra Ave","Glendale","St Louis","196","0","$340,000","3","2 (2 0)","1,963","0.1720","76","BHSP01"
"17078619","S","01/31/2018","RESI","430 Algonquin Place","Webster Groves","St Louis","256","96","$650,000","4","3 (2 1)","3,600","0.3610","100","MADA01"
"18005115","S","03/23/2018","RESI","318 Algonquin","Ballwin","Ballwin","168","8","$390,000","4","3 (3 0)","2,660","0.3310","54","KWRC01"
"17087031","S","01/05/2018","RESI","6 Algonquin Estates","Glendale","St Louis","196","18","$1,125,000","5","5 (4 1)","3,528","0.7300","68","EXRT01"
"17096558","S","03/01/2018","RESI","1308 Alicia Ave","Ferguson","St Louis","64","30","$65,625","2","2 (2 0)","","1.5000","69","PRPT01"
"17091560","S","01/18/2018","RESI","8010 Aline Ave","Berkeley","St Louis","63","36","$20,600","3","1 (1 0)","840","0.1440","68","CBG 12"
