"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"19044588","S","07/26/2019","RESI","1440 70th","Pagedale","St Louis","106","13","$26,001","2","1 (1 0)","918","0.1120","81","TREP01"
"19057560","S","09/19/2019","RESI","1312 82nd","University City","St Louis","136","9","$75,000","2","2 (1 1)","994","0.1400","72","KWRW01"
"19025525","S","08/15/2019","RESI","6326 Abbott Dr","Berkeley","St Louis","63","119","$41,000","3","1 (1 0)","970","0.1435","69","BHAL05"
"19042767","S","09/03/2019","RESI","6317 Abbott","Berkeley","St Louis","65","92","$12,500","2","1 (1 0)","792","0.1440","68","EAPR01"
"19036195","S","07/03/2019","RESI","1018 Accent","Unincorporated","St Louis","166","47","$222,000","4","2 (2 0)","1,700","0.2300","58","CBG 18"
"19053440","S","09/03/2019","RESI","1936 Acorn Trail Dr","Hazelwood","Florissant","48","3","$175,000","3","2 (2 0)","1,284","0.1900","35","KWRC01"
"19046050","S","07/31/2019","RESI","940 Active Dr","Unincorporated","St Louis","166","31","$180,000","3","2 (1 1)","988","0.2290","59","KWRW01"
"19026514","S","08/07/2019","RESI","1314 West Adams Ave","Kirkwood","Kirkwood","196","113","$725,000","3","4 (2 2)","3,123","1.5870","48","MADA01"
"18049554","S","07/26/2019","RESI","433 West Adams TBB Ave","Kirkwood","Kirkwood","196","117","$669,289","4","3 (2 1)","2,360","0.1894","","LZRE01"
"19017126","S","07/24/2019","RESI","1596 Adgers Wharf","Chesterfield","Chesterfield","167","129","$460,000","4","5 (4 1)","3,404","0.3600","","WLRE01"
"19043084","S","07/03/2019","RESI","3535 Adie","St. Ann","St Ann","76","9","$71,000","2","1 (1 0)","720","0.1000","62","PRRE01"
"19056026","S","09/20/2019","RESI","3674 Adie Rd","St. Ann","St Ann","76","5","$165,000","3","2 (2 0)","1,146","0.2300","29","LAUP01"
"19033167","S","07/26/2019","RESI","1235 Admiral","Bellefontaine Neighbors","St Louis","31","40","$92,000","3","1 (1 0)","850","0.1980","66","KWRC01"
"19035560","S","07/03/2019","RESI","1016 Advocate Ct","Unincorporated","Florissant","47","82","$152,500","3","2 (2 0)","1,396","0.2000","33","MORE01"
"19055879","S","09/30/2019","RESI","9842 Affton View Ct","Unincorporated","St Louis","331","0","$284,000","3","2 (2 0)","1,986","0.1800","28","WBRS01"
"19027773","S","07/10/2019","RESI","749 Agean Way","Ballwin","Ballwin","168","37","$250,000","3","3 (2 1)","2,339","0.2710","51","JRET"
"19044557","S","08/14/2019","RESI","7334 Ahern Ave","University City","St Louis","136","16","$235,000","3","2 (1 1)","1,592","0.1010","84","BHAD02"
"19022424","S","09/23/2019","RESI","7300 Ahern Ave","University City","St Louis","136","152","$87,500","3"," (0 0)","1,412","0.1110","86","KWRC01"
"19045801","S","07/23/2019","RESI","17610 Ailanthus Dr","Wildwood","Wildwood","347","5","$620,000","4","5 (3 2)","3,511","1.0000","25","BHSP09"
"19042293","S","07/05/2019","RESI","2314 Aileswick","Unincorporated","St Louis","332","2","$210,000","3","2 (2 0)","1,621","0.1930","46","CBG 07"
"18071235","S","08/29/2019","RESI","14742 Airelle Ct","Unincorporated","Florissant","47","136","$170,000","4","4 (3 1)","2,289","0.1960","41","CBG 06"
"19042881","S","09/03/2019","RESI","8118 Airport","Berkeley","St Louis","65","60","$12,500","2","1 (1 0)","792","0.1380","69","EAPR01"
"19042882","S","09/03/2019","RESI","8212 Airport","Berkeley","St Louis","65","60","$12,500","2","1 (1 0)","792","0.1640","69","EAPR01"
