,Zip_Code,Post Office City:,County: ,Timezone: ,Area code: ,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income, Male, Female, White, Black Or African American, American Indian Or Alaskan Native, Asian, Husband Wife Family Households, Single Guardian, Singles, Singles With Roommate, Households without Kids, Households with Kids, In Occupied Housing Units, Correctional Facility For Adults, Juvenile Facilities, Nursing Facilities, Owned Households With A Mortgage, Owned Households Free & Clear, Renter Occupied Households, Households Vacant, For Rent, Rented & Unoccupied, For Sale Only, Sold & Unoccupied, Studio Apartment, 1 Bedroom, 2 Bedroom, 3+ Bedroom, Worked Full-time with Earnings, Worked Part-time with Earnings, No Earnings," Car, truck, or van", Public transportation, Taxicab, Motorcycle, Less than High School Diploma, High School Graduate, Associate's degree, Bachelor's degree, Enrolled in Public School, Enrolled in Private School, Not Enrolled in School,Neighborhood: ,Coordinates:
0,63133.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"8,161","2,733","3,660","$62,100",2.99,0.00,"3,010","$25,239","3,682","4,479",436,"7,506",12,17,586,"1,420",886,118,"1,803","1,207","8,002",0,0,114,919,464,"1,627",650,342,24,83,29,0,577,506,580,"1,713","1,589","2,879","2,127",329,0,0,"1,115","3,321",323,208,"1,800",61,177,,
1,63136.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"48,560","4,589","21,585","$77,100",10.58,0.00,"18,376","$31,051","21,365","27,195","3,897","43,681",82,93,"4,464","8,037","5,142",733,"11,093","7,283","48,367",40,0,123,"8,195","2,264","7,917","3,209","1,238",48,394,72,341,"1,564","3,376","2,841","11,565","8,977","15,211","13,764","2,058",49,0,"5,497","17,589","2,666","2,418","8,978",690,"1,117",,
2,63121.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"26,602","3,705","12,491","$80,500",7.18,0.00,"10,832","$33,704","11,896","14,706","3,581","22,018",64,370,"2,703","3,794","3,616",719,"7,505","3,327","25,953",0,9,267,"4,403","1,644","4,785","1,659",665,43,234,79,138,"1,183","2,244","1,238","7,903","4,993","8,180","8,895","1,284",0,10,"2,588","9,928","1,021","1,853","4,158",627,384,,
3,63137.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),,"20,654","2,775","8,771","$75,600",7.44,1.28,"7,853","$34,019","9,442","11,212","4,560","15,647",26,43,"2,223","2,978","2,321",331,"4,844","3,009","20,189",0,0,465,"4,271","1,111","2,471",918,326,10,161,11,126,304,985,"1,600","5,791","3,392","6,081","6,855",746,0,0,"2,101","7,643","1,319",936,"4,096",404,616,St. Louis,
4,63135.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"21,334","3,401","9,104","$90,600",6.27,0.01,"8,159","$40,443","9,785","11,549","7,677","12,874",90,117,"2,657","2,835","2,273",394,"5,082","3,077","21,143",0,0,189,"4,191","1,295","2,673",945,225,20,185,21,85,691,"1,204","1,245","6,569","3,886","6,058","8,302",516,0,18,"1,534","7,966","1,162","1,984","3,859",627,546,,
5,63134.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"13,638","1,660","5,731","$76,400",8.22,0.00,"5,066","$36,539","6,273","7,365","4,210","8,553",46,98,"1,451","2,038","1,294",283,"3,040","2,026","13,638",0,0,0,"2,203",846,"2,017",665,142,16,97,11,0,241,"1,215",843,"4,234","2,733","3,650","5,526",267,0,0,"1,498","5,587",509,757,"2,615",225,284,,
6,63138.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),,"20,175","1,100","9,083","$104,600",18.34,1.91,"7,899","$33,691","9,062","11,113","4,222","15,285",46,76,"2,384","2,650","2,490",375,"4,806","3,093","19,869",0,139,143,"3,346",790,"3,763","1,184",666,4,167,11,90,"1,352","1,375","1,111","5,573","3,731","5,311","7,294",515,0,11,"1,648","7,150","1,144","1,476","4,075","1,129",546,St. Louis,
7,63031.0,"Florissant, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"48,212","3,285","20,039","$111,100",14.67,1.12,"19,004","$55,260","22,689","25,523","34,692","11,374",113,519,"8,829","3,974","5,231",970,"12,569","6,435","47,413",0,118,542,"11,613","3,638","3,753","1,035",209,12,383,48,36,875,"1,545","1,859","17,487","9,711","11,837","22,917",211,10,23,"2,647","18,928","3,751","5,013","7,528","1,902",852,,
8,63033.0,"Florissant, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"43,000","3,479","18,401","$117,000",12.36,0.02,"17,074","$51,707","19,731","23,269","15,465","26,106",63,262,"7,072","4,264","5,108",630,"11,424","5,650","42,403",4,10,383,"9,530","2,744","4,800","1,327",550,11,348,60,106,"1,496","2,158","1,714","13,650","8,212","11,516","17,387",369,0,23,"2,365","15,410","2,354","4,992","6,003","1,422",565,,
9,63034.0,"Florissant, MO (View All Cities)",St. Louis County,Central (7:17pm),314 (Area Code Map),"17,761",948,"6,865","$170,700",18.73,2.32,"6,545","$72,231","8,461","9,300","7,424","9,579",27,328,"3,960","1,143","1,245",197,"4,341","2,204","17,647",0,0,97,"5,140","1,136",269,320,11,3,176,30,0,0,107,267,"6,575","3,506","4,548","8,133",135,0,0,816,"5,581","1,400","2,589","2,505","1,105",269,,
10,63042.0,"Hazelwood, MO (View All Cities)",St. Louis County,Central (7:17pm),,"19,602","1,609","9,347","$106,400",12.18,0.07,"8,680","$42,648","9,202","10,400","12,064","6,436",50,247,"2,931","2,026","3,168",555,"6,063","2,617","19,588",0,0,0,"3,613","1,306","3,761",667,297,13,134,16,180,"1,248","1,493",834,"7,550","3,331","4,866","9,081",171,36,0,"1,352","8,198","1,385","1,561","3,166",379,408,,"38.79, -90.39ZIP (~5 mile radius)"
11,63114.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:17pm),,"36,201","4,105","16,568","$92,800",8.82,0.02,"14,814","$41,771","17,673","18,528","23,522","9,147",123,860,"5,226","3,869","4,597","1,122","10,125","4,689","35,873",0,67,145,"7,247","2,618","4,949","1,754",482,36,372,84,38,913,"3,121","1,506","12,492","7,519","8,392","15,985",410,29,48,"3,525","14,608","1,737","3,110","5,978",839,856,St. Louis,
12,63074.0,"Saint Ann, MO (View All Cities)",St. Louis County,Central (7:18pm),,"15,164","3,947","7,542","$99,900",3.84,0.00,"6,857","$35,590","7,223","7,941","9,948","3,899",48,337,"2,070","1,713","2,613",461,"4,875","1,982","15,160",0,0,0,"2,571",982,"3,304",685,344,11,113,23,56,"1,305","1,543",378,"4,902","3,328","3,954","6,080",521,13,0,"1,575","5,999","1,267","1,166","1,985",471,256,,"38.73, -90.39ZIP (~2 mile radius)"
13,63043.0,"Maryland Heights, MO (View All Cities)",St. Louis County,Central (7:18pm),,"22,367","1,585","10,030","$153,200",14.11,0.34,"9,457","$61,300","10,930","11,437","17,104","2,154",54,"2,181","4,301","1,452","3,007",697,"6,694","2,763","21,858",0,0,473,"4,941","1,773","2,743",573,281,8,121,8,121,850,886,"1,035","8,564","4,282","5,637","10,972",33,11,27,"1,378","7,427","1,328","3,677","2,754",517,420,,"38.73, -90.45ZIP (~3 mile radius)"
14,63044.0,"Bridgeton, MO (View All Cities)",St. Louis County,Central (7:18pm),,"10,568",698,"4,626","$162,500",15.13,0.72,"4,326","$47,415","4,941","5,627","8,056","1,611",23,244,"1,982",726,"1,401",217,"3,143","1,183","10,130",0,0,384,"2,006","1,032","1,288",300,136,3,61,7,39,249,899,195,"2,982","2,300","3,374","4,205",87,0,12,524,"4,423",389,"1,538","1,532",257,265,,"38.77, -90.42ZIP (~4 mile radius)"
15,63146.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),314 (Area Code Map),"29,262","2,090","15,142","$201,200",14.00,1.16,"13,913","$63,921","13,639","15,623","21,809","3,655",52,"2,687","5,858","1,728","5,316","1,011","10,720","3,193","29,036",0,49,121,"5,854","2,579","5,480","1,229",639,49,242,31,194,"1,781","2,760","1,056","11,692","5,892","7,772","13,951",174,22,27,"1,025","7,627","1,421","6,496","3,134","1,141",342,,
16,63120.0,"Saint Louis, MO (View All Cities)",St. Louis city,Central (7:18pm),,"10,296","4,260","4,976","$52,800",2.42,0.00,"3,625","$23,996","4,767","5,529",128,"9,975",16,5,663,"1,753","1,053",156,"2,257","1,368","9,850",0,0,14,"1,072",794,"1,759","1,351",466,7,52,19,58,351,696,522,"1,696","1,601","3,709","1,985",346,0,0,"1,415","3,283",248,288,"1,603",105,142,Walnut Park East,
17,63130.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),,"30,084","5,973","14,020","$209,200",5.04,0.00,"12,719","$55,976","14,240","15,844","15,434","12,191",70,"1,306","4,683","2,462","4,098","1,476","9,353","3,366","28,897",0,31,160,"5,683","1,890","5,146","1,301",708,25,235,52,153,"1,111","2,232","1,226","10,556","7,318","7,810","11,867","1,100",13,0,"1,931","6,865","1,184","4,891","2,651","1,567",389,St. Louis,
18,63132.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),,"13,988","2,658","6,538","$251,900",5.26,0.00,"5,897","$55,687","6,533","7,455","6,701","5,435",43,"1,103","2,353","1,363","1,836",345,"4,067","1,830","13,901",0,0,0,"2,512","1,039","2,346",641,419,8,89,23,10,364,"1,385",524,"5,015","2,630","3,275","5,804",381,36,0,877,"3,119",455,"2,338","2,057",382,249,St. Louis,
19,63124.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),314 (Area Code Map),"10,417","1,190","4,935","$656,800",8.75,0.00,"4,493","$118,816","4,882","5,535","9,524",302,12,407,"2,555",327,"1,495",116,"3,243","1,250","10,397",0,0,9,"2,154","1,118","1,221",442,188,5,88,22,56,562,434,133,"2,882","1,726","3,755","3,618",12,0,0,194,"1,293",237,"2,625",978,"1,108",61,,
20,63141.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),314 (Area Code Map),"20,593","1,457","9,040","$373,700",14.13,0.00,"8,322","$102,708","9,824","10,769","16,801","1,275",34,"1,957","4,739",728,"2,356",499,"6,009","2,313","19,730",0,0,340,"4,024","2,085","2,213",718,254,16,147,32,0,766,"1,021",315,"7,157","3,942","5,251","8,864",26,0,13,351,"2,687",783,"5,071","2,247",937,222,,
21,63131.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),,"16,769","1,205","6,416","$491,000",13.92,0.00,"6,097","$132,500","8,130","8,639","15,293",296,20,861,"4,454",485,"1,010",148,"4,023","2,074","16,437",0,0,78,"3,884","1,914",299,319,15,6,121,37,0,0,44,343,"5,854","3,513","4,419","7,271",16,37,10,149,"2,468",444,"4,643","1,680","2,021",152,St. Louis,
22,63017.0,"Chesterfield, MO (View All Cities)",St. Louis County,Central (7:18pm),636 (Area Code Map),"41,470","2,118","17,735","$317,900",19.58,0.27,"16,696","$93,110","19,621","21,849","35,835","1,150",64,"3,550","10,363","1,276","4,428",629,"12,093","4,603","39,794",0,0,"1,661","9,010","4,056","3,630","1,039",379,20,225,63,109,"1,189","1,592",716,"13,743","7,891","12,651","17,581",45,0,28,"1,000","9,007","1,366","10,700","5,484","2,014",243,,
23,63021.0,"Ballwin, MO (View All Cities)",St. Louis County,Central (7:18pm),636 (Area Code Map),"56,261","2,580","22,553","$226,000",21.80,0.40,"21,684","$82,449","27,171","29,090","49,219","1,423",96,"3,915","12,939","2,575","5,119","1,051","13,859","7,825","55,843",0,0,405,"14,278","3,378","4,028",869,356,26,200,29,46,794,"2,057",998,"21,569","12,310","10,531","27,936",171,9,32,"1,276","13,594","2,635","12,490","7,073","4,200",631,,
24,63011.0,"Ballwin, MO (View All Cities)",St. Louis County,Central (7:18pm),636 (Area Code Map),"36,347","2,520","14,828","$249,400",14.42,0.00,"14,173","$85,133","17,394","18,953","32,954",816,63,"1,804","8,898","1,531","3,244",500,"9,456","4,717","36,314",0,0,0,"8,714","3,131","2,328",655,214,15,205,37,68,426,879,927,"12,094","8,199","8,765","16,472",90,0,0,"1,002","8,258","1,752","8,758","5,594","2,124",358,,
25,63122.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:18pm),314 (Area Code Map),"38,495","2,719","17,320","$255,400",14.16,0.07,"16,133","$80,682","17,848","20,647","35,169","2,028",45,551,"8,579","1,881","4,972",701,"11,130","5,003","38,218",0,5,238,"9,598","3,611","2,924","1,187",381,35,297,68,85,576,"1,561",793,"14,094","7,920","8,752","17,877",99,29,60,760,"7,766","1,461","10,346","4,352","2,686",318,,
